magratio,ppvn,highpass
0.8993032699704399,1.0,7.0
0.8459573044472416,1.0,8.0
0.8234822310425725,1.0,9.0
0.800627784573649,1.0,10.0
0.7769824600503258,1.0,11.0
0.7555474807619246,1.0,12.0
0.7324246282128566,1.0,13.0
0.7106344108250966,0.9961538461538461,14.0
0.6915703193987496,0.9924908424908424,15.0
0.6734937277321839,0.988994338994339,16.0
0.6564575956379036,0.9856498573889879,17.0
0.6436289433873134,0.9824447291838597,18.0
0.6314442497762145,0.9793678061069365,19.0
0.620652870587144,0.9764092262252798,20.0
0.6082101894896415,0.973560223376277,21.0
0.5951361405416503,0.9708129706290242,22.0
0.5801664185358647,0.9681604507351249,23.0
0.5662628154542763,0.9655963481710222,24.0
0.5513824043482076,0.9631149585928583,25.0
0.5376265142823761,0.958307266285166,26.0
0.5258964347687732,0.9574914154693156,27.0
0.5140515363189965,0.9566295322544912,28.0
0.501602220087357,0.9557304313553903,29.0
0.48816737936025373,0.9548014086872372,30.0
0.4752715042630392,0.9517695306553591,31.0
0.46249006295233613,0.948773579238355,32.0
0.4490561896528451,0.9438426127689271,33.0
0.4354613286603649,0.9389993079256223,34.0
0.422531238810423,0.9342418702413553,35.0
0.41172433720216983,0.9295683828092473,36.0
0.4010984233115484,0.9231879415450851,37.0
0.39224767884945605,0.91692807238199,38.0
0.3828415449473903,0.9114793544332721,39.0
0.37391062762752303,0.9061079142792232,40.0
0.36460423335142544,0.8991761726791463,41.0
0.3557140511356422,0.8907512642542378,42.0
0.3477451621076454,0.8808960401132993,43.0
0.33982084212371255,0.8717484309656901,44.0
0.3313838139729283,0.8627383492001907,45.0
0.3231439211082797,0.854355706202163,46.0
0.3173655285139778,0.8460828469859074,47.0
0.31199690843799466,0.8364935203234101,48.0
0.3068828780087475,0.8256377094675992,49.0
0.3019388003009051,0.8153514840650946,50.0
0.2974968107768711,0.8038498278265962,51.0
0.2943960691771196,0.7942123388787624,52.0
0.29122499900106746,0.7833852882580494,53.0
0.28812233795161923,0.7730470449410827,54.0
0.2853907581587385,0.7644299789469675,55.0
0.2826600934810609,0.7562262011579362,56.0
0.2799180569707222,0.7484117933435284,57.0
0.2772295806483261,0.7406582111414166,58.0
0.27474384241691036,0.7344451933899374,59.0
0.27233214181444176,0.7271003369884773,60.0
0.2697461322285716,0.7200841359424255,61.0
0.2671384257764389,0.7145102980156466,62.0
0.26415527017014123,0.7092148688071738,63.0
0.2608016751012356,0.7052819596111066,64.0
0.2569875494151438,0.7002571155867484,65.0
0.2530876414120754,0.6954765853824892,66.0
0.24965655116287883,0.6909279376831569,67.0
0.24638971474074087,0.6853384894707577,68.0
0.24289565533406193,0.679978687981924,69.0
0.23909148089637922,0.6748376302092873,70.0
0.23553845646517602,0.6687031396997967,71.0
0.23198507194461598,0.6616025479838203,72.0
0.2277690516380404,0.6547275664252944,73.0
